Year,Cpv,CountryFrom,CountryTo,EuroTotal
2009,33115000,CH,DE,-279864
2009,34000000,CH,DE,298013.25
2009,34121000,CH,DE,-1358178
2009,34121400,CH,DE,-851856
2009,34630000,CH,DE,2044400
2009,34632000,CH,DE,3299782.8
2009,34946200,CH,DE,42509700.12
2009,38000000,CH,DE,-5220786
2009,38115000,CH,DE,3016759.39
2009,38636100,CH,DE,-470000
2009,38970000,CH,DE,358400
2009,42390000,CH,DE,330000
2009,42416000,CH,DE,-2200048.74
2009,42600000,CH,DE,-1330000
2009,42632000,CH,DE,-247500
2009,42963000,CH,DE,4231719.21
2009,45000000,CH,DE,1244744.07
2009,48000000,CH,DE,220000
2009,48161000,CH,DE,-775093.87
2009,71221000,CH,DE,-403361.34
2009,71240000,CH,DE,172000
2009,71241000,CH,DE,-352941.18
2009,72000000,CH,DE,4308300
2009,72260000,CH,DE,3593443.71
2009,75211200,CH,DE,-5209234.2
2009,79419000,CH,DE,-234012.8
2009,98300000,CH,DE,403907.28
2009,98392000,CH,DE,86041.06
2009,98910000,CH,DE,-499990
2009,33651600,CH,DK,-5764551.05
2009,72250000,CH,EE,-153750.02
2009,34000000,CH,FI,-22500000
2009,38341000,CH,FI,-329139.07
2009,66523000,CH,FI,-250000
2009,09131100,CH,FR,-19697150
2009,16700000,CH,FR,-250747.6
2009,22462000,CH,FR,-61446
2009,31682540,CH,FR,-7502780
2009,31711300,CH,FR,-809465.9
2009,32000000,CH,FR,-1432015.90
2009,32425000,CH,FR,-877472.06
2009,33000000,CH,FR,-2677618
2009,33112300,CH,FR,-2010533.38
2009,33124200,CH,FR,-1149776
2009,33140000,CH,FR,-280000
2009,33141000,CH,FR,-2669621.94
2009,33184000,CH,FR,-3714906
2009,33600000,CH,FR,-915800
2009,33696500,CH,FR,-67743775
2009,34144431,CH,FR,-420880
2009,38000000,CH,FR,-638626.25
2009,38520000,CH,FR,-861029.44
2009,38651300,CH,FR,-1504330
2009,39300000,CH,FR,-91935.45
2009,42112100,CH,FR,-703395
2009,45000000,CH,FR,1930419.87
2009,45212212,CH,FR,-11207659.32
2009,48730000,CH,FR,-3923640
2009,50000000,CH,FR,-564104.72
2009,50413200,CH,FR,-1457083.44
2009,60112000,CH,FR,-15632059
2009,71310000,CH,FR,-200000
2009,71400000,CH,FR,-2367200
2009,72242000,CH,FR,-51050
2009,72267000,CH,FR,-1896638
2009,79212100,CH,FR,-355500
2009,79300000,CH,FR,-129400
2009,79342200,CH,FR,-1980000
2009,80521000,CH,FR,-100000
2009,90513000,CH,FR,-596661.19
2009,92520000,CH,FR,-7341592
2009,42124100,CH,GR,-2902726.22
2009,50220000,CH,HU,-22965944.07
2009,71000000,CH,HU,-7170120.93
2009,34300000,CH,IE,-150000
2009,48000000,CH,IE,17635523.18
2009,18000000,CH,IT,291.4
2009,38636000,CH,IT,193500
2009,39150000,CH,IT,2268611.39
2009,71322000,CH,IT,-284812.34
2009,71340000,CH,IT,-2709925.5
2009,30230000,CH,LI,-436987.62
2009,33111610,CH,LI,-926721.52
2009,39130000,CH,LI,-240922.03
2009,45223220,CH,LI,-8706848.30
2009,45262100,CH,LI,-3496202.23
