YEAR,CPV,ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,VALUE_EURO_FIN_2
2012,42414140,20121172,ES,FI,5500000
2012,48620000,20122150,IT,IE,396673.34
2012,33141500,20122157,IT,BE,666686
2012,34000000,20122176,PL,AT,228321.61
2012,34000000,20122176,PL,AT,228321.61
2012,44910000,20122260,IE,UK,145466.75
2012,15712000,20122288,ES,UK,202800
2012,98341110,20122341,FR,ZA,68945.08
2012,66510000,20122530,ES,GR,788703.7
2012,72000000,20122543,UK,US,36997299.2
2012,72000000,20122576,CY,GR,304762
2012,34300000,20122654,ES,DE,6538530
2012,71700000,20122722,NO,FI,535109.9
2012,32200000,20123646,IT,ES,8700000
2012,33141000,20123653,FR,IE,70048.11
2012,71241000,20123731,PL,UK,305000
2012,18937000,20123768,IT,DE,278000
2012,33160000,20123769,SK,CZ,2400000
2012,33100000,20123771,LV,EE,534126.49
2012,33100000,20123771,LV,EE,534126.49
2012,33650000,20123815,FR,NO,1484113.71
2012,38000000,20123859,ES,US,200000
2012,38000000,20123859,ES,US,200000
2012,72253000,20124163,SI,HR,800100
2012,39154000,20124185,NL,BE,500000
2012,90511400,20124318,DE,NL,1542000
2012,72000000,20124364,UK,GR,49329732.26
2012,31600000,20124481,BG,RO,868698.23
2012,72260000,20124551,IT,US,1037928.25
2012,71320000,20124562,NO,FR,244318.47
2012,19520000,20125269,AT,DE,4161000
2012,19520000,20125269,AT,DE,4161000
2012,38520000,20125352,FR,CH,1319225.4
2012,34144212,20125374,DE,AT,286526.4
2012,34144211,20125388,UK,DE,1174294.28
2012,42112000,20125461,DE,CH,1200000
2012,72250000,20125554,FR,DE,45503440
2012,72250000,20125554,FR,DE,45503440
2012,80000000,20125601,BG,NL,11023873.95
2012,80000000,20125602,BG,US,2382381.82
2012,79416000,20125620,MT,UK,175560
2012,72000000,20125657,AT,DE,117560
2012,33183200,20126496,PL,NL,683468.28
2012,48121000,20126504,HU,FR,3000000
2012,33140000,20126517,PL,UK,140643.54
2012,33141625,20126539,PT,ES,400000
2012,18110000,20126556,FR,BE,800000
2012,09131100,20126665,FR,CH,91014400
2012,09131100,20126665,FR,NL,91014400
2012,22212000,20126681,ES,NL,1581957
2012,71300000,20126765,MT,IT,1225000
2012,71241000,20126778,MT,UK,177966.1
2012,66510000,20126787,DK,NO,4164595.56
2012,66510000,20126787,DK,NO,4164595.56
2012,66515200,20126855,FR,GA,135100.78
2012,79342200,20127056,ES,DE,435150
2012,63510000,20127073,IT,US,8580000
2012,34142100,20127083,AT,DE,591670
2012,44318000,20127087,UK,PL,2331437.1
2012,44318000,20127087,UK,PL,2331437.1
2012,44318000,20127087,UK,PL,2331437.1
2012,44318000,20127087,UK,PL,2331437.1
2012,33100000,20127142,NO,DE,295121.51
2012,51511400,20127933,DE,AT,109710
2012,34928530,20127980,BE,FR,3333579.2
2012,34928530,20127980,BE,FR,3333579.2
2012,34928530,20127980,BE,FR,3333579.2
2012,38000000,20127994,UK,DE,137568.29
2012,38500000,20127998,EE,FI,211793.4
2012,38430000,20128026,IT,DE,279574.8
2012,33696100,20128194,PL,CH,228279.45
2012,33186000,20128199,PL,IT,1143075.97
2012,33186000,20128199,PL,IT,1143075.97
2012,18512100,20128202,BG,DE,628200
2012,18512100,20128205,BG,IT,356113.1
2012,33731110,20128271,IT,AT,934528
2012,66510000,20128315,DK,NO,362722.84
2012,50333000,20128357,EE,FI,250593
2012,72319000,20128419,LT,US,231.7
2012,79342200,20128465,ES,UK,232500.89
2012,72265000,20128712,PL,DK,115165.24
2012,72320000,20128713,PL,US,902560.71
2012,71631440,20128802,RO,CA,419504.18
2012,34926000,20128846,CH,FR,5864336.68
2012,42965110,20129584,AT,DE,255210
2012,30000000,20129640,BE,AT,600000
2012,22211000,20129678,BE,UK,5556.07
2012,18925200,20129699,NL,IT,260645
2012,34100000,20129725,LT,BE,760000
2012,48813000,20129746,NL,BE,198933
2012,18512200,20129771,LV,LT,352645.92
2012,34992000,20129774,FR,IT,200430
2012,34221000,20129785,FR,CH,5350000
2012,31625100,20129786,FR,DE,5271000
2012,34221000,20129787,FR,CH,5500000
2012,22200000,20129802,FR,NL,120000
2012,22200000,20129802,FR,NL,120000
2012,39300000,20129829,RO,IT,288689.66
2012,33182230,20129873,PL,IT,291378.85
2012,33696500,20129900,FR,DE,6104881.59
2012,79952000,20129990,NL,HK,289150
2013,38500000,20131180,PL,DE,208852
2013,33141000,20131244,PL,IT,454577.64
2013,33141000,20131244,PL,FR,454577.64
2013,33696500,20131289,PL,CH,33802.69
2013,33141220,20131359,PL,IT,1360744.78
2013,38433100,20131410,FI,SE,191267
2013,15894210,20131425,FR,MQ,212982
2013,14212000,20131427,FR,MQ,300000
2013,71356200,20131431,FR,GP,130358
2013,71356200,20131431,FR,GP,130358
2013,71356200,20131431,FR,GP,130358
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,71314100,20131563,FR,GP,80000
2013,50210000,20131627,BE,DE,1018300
2013,90511200,20131679,FR,GF,3888000
2013,90530000,20131721,FR,GF,188114
2013,24954100,20131787,PL,FR,779535.44
2013,24954100,20131787,PL,FR,779535.44
2013,63510000,20132485,FR,RE,8603
2013,63510000,20132485,FR,RE,8603
2013,33690000,20132531,PL,CH,144683.24
2013,38540000,20132542,EE,PL,43625
2013,45215000,20132608,FR,RE,685136.31
2013,33696500,20132644,PL,CH,131657.95
2013,33696500,20132670,PL,DE,28952.54
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,50210000,20132755,CZ,LT,237258.47
2013,30230000,20132793,FR,RE,140652.03
2013,30230000,20132793,FR,RE,140652.03
2013,30230000,20132793,FR,RE,140652.03
2013,30230000,20132793,FR,RE,140652.03
2013,50324100,20132852,LT,IL,369245.66
2013,50225000,20133041,NL,DE,129987
2013,79200000,20133098,NO,US,240945.71
2013,45243400,20133563,NL,BE,31212000
2013,45243400,20133565,NL,DK,17770000
2013,48000000,20133604,AT,FR,454441
2013,33140000,20133612,PL,UK,853391.42
2013,33140000,20133612,PL,IT,853391.42
2013,33140000,20133612,PL,UK,853391.42
2013,33184100,20133663,PT,DE,2642985
2013,33112200,20133714,PL,US,122279.21
2013,38000000,20133732,UK,US,432351.44
2013,39150000,20133783,FI,EE,135236
2013,66510000,20133918,IT,AT,766354.86
2013,60172000,20133920,PL,PT,180673.46
2013,42400000,20134130,PL,FI,580000
2013,48510000,20134171,IT,DE,590760
2013,72230000,20134174,IT,DE,435709.9
2013,45311200,20134679,DE,BG,2154082.5
2013,33111730,20134726,IT,IS,12531012.2
2013,38600000,20134741,CZ,PL,73133.18
2013,38600000,20134744,CZ,PL,46189.38
2013,38600000,20134748,CZ,PL,115473.44
2013,38435000,20134759,NL,DE,600000
2013,38000000,20134760,NL,DE,160000
2013,48781000,20134776,DE,NL,589304
2013,34740000,20134794,AT,DE,230000
2013,34000000,20134820,UK,DE,61662165.33
2013,34000000,20134820,UK,DE,61662165.33
2013,34000000,20134820,UK,DE,61662165.33
2013,33696500,20134831,PL,DE,431568.43
2013,33696500,20134831,PL,CH,431568.43
2013,33140000,20134852,PL,UK,130988.48
